PhilGEPS DBSCAN — semantic legend reference (full labels vs grouped plot legend)
Encoding: UTF-8. Delimiter: TAB. cluster_id = actual DBSCAN assignment; Display group = plot bucket.

Display group	Actual cluster_id	Semantic label	Short rationale	Count	Share
Noise / outliers	-1	Noise / outlier procurement records	DBSCAN noise label (-1): not assigned to a dense neighborhood in PC1–PC3; treated as outlier procurement records rather than a single procurement pattern.	357,290	73.274%
C25: Mixed procurement profile s...	25	Mixed procurement profile segment · mean PC=(0.74,-1.00,-0.37)	Strongest theme deviations vs cohort (z): low_risk_shortage=0.62; high_risk_shortage=-0.62; normal_inventory=0.52; overstocking=-0.23; understocking=0.23	94,311	19.342%
C0: Moderate understocking segment	0	Moderate understocking segment · mean PC=(0.42,-1.01,-0.61)	Strongest theme deviations vs cohort (z): equal_supply_regions=0.46; unequal_supply_regions=-0.46; normal_inventory=0.43; high_risk_shortage=-0.42; low_risk_shortage=0.42	18,695	3.834%
C26: High shortage-risk segment	26	High shortage-risk segment · mean PC=(-0.91,-1.66,5.03)	Strongest theme deviations vs cohort (z): equal_supply_regions=2.71; unequal_supply_regions=-2.71; high_risk_shortage=1.09; low_risk_shortage=-1.09; understocking=0.56	614	0.126%
C119: High shortage-risk segment	119	High shortage-risk segment · mean PC=(-0.19,-1.25,-0.42)	Strongest theme deviations vs cohort (z): understocking=0.85; overstocking=-0.85; low_risk_shortage=-0.53; high_risk_shortage=0.53; equal_supply_regions=-0.11	441	0.090%
C27: Strong understocking / lean...	27	Strong understocking / lean-stock segment · mean PC=(-1.65,-0.58,-0.09)	Strongest theme deviations vs cohort (z): normal_inventory=-2.30; understocking=2.15; overstocking=-2.15; high_risk_shortage=-0.29; low_risk_shortage=0.29	386	0.079%
Other DBSCAN clusters	1	Severe surplus / extreme overstocking segment · mean PC=(1.16,0.64,-0.22)	Strongest theme deviations vs cohort (z): overstocking=1.97; understocking=-1.97; normal_inventory=-1.93; high_risk_shortage=-1.19; low_risk_shortage=1.19	91	0.019%
Other DBSCAN clusters	2	Severe surplus / extreme overstocking segment · mean PC=(1.23,0.68,-0.20)	Strongest theme deviations vs cohort (z): normal_inventory=-2.05; understocking=-2.05; overstocking=2.05; high_risk_shortage=-1.27; low_risk_shortage=1.27	35	0.007%
Other DBSCAN clusters	3	Severe surplus / extreme overstocking segment · mean PC=(0.82,0.43,-0.32)	Strongest theme deviations vs cohort (z): overstocking=1.72; understocking=-1.72; normal_inventory=-1.51; high_risk_shortage=-1.13; low_risk_shortage=1.13	66	0.014%
Other DBSCAN clusters	4	High shortage-risk segment · mean PC=(3.31,-0.43,0.04)	Strongest theme deviations vs cohort (z): high_risk_shortage=0.82; low_risk_shortage=-0.82; equal_supply_regions=0.81; unequal_supply_regions=-0.81; overstocking=0.61	68	0.014%
Other DBSCAN clusters	5	Strong understocking / lean-stock segment · mean PC=(-2.03,-1.24,-1.13)	Strongest theme deviations vs cohort (z): overstocking=-1.79; understocking=1.79; normal_inventory=-1.63; high_risk_shortage=0.31; low_risk_shortage=-0.31	32	0.007%
Other DBSCAN clusters	6	Severe surplus / extreme overstocking segment · mean PC=(1.62,0.92,-0.09)	Strongest theme deviations vs cohort (z): normal_inventory=-2.42; understocking=-2.27; overstocking=2.27; high_risk_shortage=-1.27; low_risk_shortage=1.27	66	0.014%
Other DBSCAN clusters	7	High shortage-risk segment · mean PC=(-0.42,-1.12,-0.77)	Strongest theme deviations vs cohort (z): normal_inventory=0.79; equal_supply_regions=0.45; unequal_supply_regions=-0.45; high_risk_shortage=0.41; low_risk_shortage=-0.41	52	0.011%
Other DBSCAN clusters	8	Strong understocking / lean-stock segment · mean PC=(-1.78,-1.31,-1.08)	Strongest theme deviations vs cohort (z): overstocking=-1.68; understocking=1.68; normal_inventory=-1.46; equal_supply_regions=0.16; unequal_supply_regions=-0.16	42	0.009%
Other DBSCAN clusters	9	Overstocking-heavy procurement segment · mean PC=(-0.36,-0.31,-0.65)	Strongest theme deviations vs cohort (z): high_risk_shortage=-0.93; low_risk_shortage=0.93; normal_inventory=0.53; overstocking=0.47; understocking=-0.47	62	0.013%
Other DBSCAN clusters	10	High shortage-risk segment · mean PC=(-0.10,-1.05,-0.70)	Strongest theme deviations vs cohort (z): normal_inventory=1.24; equal_supply_regions=0.45; unequal_supply_regions=-0.45; high_risk_shortage=0.40; low_risk_shortage=-0.40	27	0.006%
Other DBSCAN clusters	11	Overstocking-heavy procurement segment · mean PC=(0.10,-0.02,-0.52)	Strongest theme deviations vs cohort (z): high_risk_shortage=-1.04; low_risk_shortage=1.04; overstocking=0.97; understocking=-0.97; normal_inventory=-0.28	85	0.017%
Other DBSCAN clusters	12	Severe surplus / extreme overstocking segment · mean PC=(0.56,0.26,-0.39)	Strongest theme deviations vs cohort (z): understocking=-1.42; overstocking=1.42; high_risk_shortage=-1.13; low_risk_shortage=1.13; normal_inventory=-1.10	66	0.014%
Other DBSCAN clusters	13	Strong understocking / lean-stock segment · mean PC=(-1.85,-1.29,-1.09)	Strongest theme deviations vs cohort (z): overstocking=-1.71; understocking=1.71; normal_inventory=-1.51; high_risk_shortage=0.30; low_risk_shortage=-0.30	27	0.006%
Other DBSCAN clusters	14	Mixed procurement profile segment · mean PC=(-0.69,-0.51,-0.74)	Strongest theme deviations vs cohort (z): normal_inventory=1.10; high_risk_shortage=-0.59; low_risk_shortage=0.59; overstocking=0.12; understocking=-0.12	31	0.006%
Other DBSCAN clusters	15	High shortage-risk segment · mean PC=(3.16,-0.53,0.02)	Strongest theme deviations vs cohort (z): high_risk_shortage=0.66; low_risk_shortage=-0.66; understocking=-0.60; overstocking=0.60; equal_supply_regions=0.53	25	0.005%
Other DBSCAN clusters	16	Severe surplus / extreme overstocking segment · mean PC=(1.02,0.55,-0.26)	Strongest theme deviations vs cohort (z): understocking=-1.86; overstocking=1.86; normal_inventory=-1.75; high_risk_shortage=-0.74; low_risk_shortage=0.74	29	0.006%
Other DBSCAN clusters	17	High shortage-risk segment · mean PC=(-0.68,-1.17,-0.83)	Strongest theme deviations vs cohort (z): high_risk_shortage=0.83; low_risk_shortage=-0.83; overstocking=-0.50; understocking=0.50; normal_inventory=0.48	27	0.006%
Other DBSCAN clusters	18	Severe surplus / extreme overstocking segment · mean PC=(0.37,0.14,-0.45)	Strongest theme deviations vs cohort (z): understocking=-1.21; overstocking=1.21; high_risk_shortage=-1.08; low_risk_shortage=1.08; normal_inventory=-0.73	43	0.009%
Other DBSCAN clusters	19	High shortage-risk segment · mean PC=(3.36,-0.35,0.06)	Strongest theme deviations vs cohort (z): high_risk_shortage=0.68; low_risk_shortage=-0.68; understocking=-0.62; overstocking=0.62; equal_supply_regions=0.52	16	0.003%
Other DBSCAN clusters	20	Severe surplus / extreme overstocking segment · mean PC=(2.07,1.21,0.04)	Strongest theme deviations vs cohort (z): normal_inventory=-2.76; understocking=-2.48; overstocking=2.48; high_risk_shortage=-1.26; low_risk_shortage=1.26	33	0.007%
Other DBSCAN clusters	21	Mixed procurement profile segment · mean PC=(0.04,-1.01,-0.67)	Strongest theme deviations vs cohort (z): normal_inventory=1.02; high_risk_shortage=-0.60; low_risk_shortage=0.60; unequal_supply_regions=-0.57; equal_supply_regions=0.57	35	0.007%
Other DBSCAN clusters	22	Strong understocking / lean-stock segment · mean PC=(-0.46,-1.44,-0.75)	Strongest theme deviations vs cohort (z): understocking=1.28; overstocking=-1.28; high_risk_shortage=-1.18; low_risk_shortage=1.18; normal_inventory=-0.80	34	0.007%
Other DBSCAN clusters	23	High shortage-risk segment · mean PC=(-0.53,-1.14,-0.80)	Strongest theme deviations vs cohort (z): high_risk_shortage=0.71; low_risk_shortage=-0.71; normal_inventory=0.65; unequal_supply_regions=0.55; equal_supply_regions=-0.55	20	0.004%
