value,count,share_within_cluster
DR. JOSE RIZAL MEMORIAL HOSPITAL,89238,0.9991714439269079
EAST AVENUE MEDICAL CENTER,18,0.00020154066642780365
PROVINCE OF SOUTH COTABATO,14,0.00015675385166606952
PROVINCE OF AGUSAN DEL NORTE,12,0.00013436044428520244
PROVINCE OF ALBAY,8,8.957362952346828e-05
PROVINCE OF ILOCOS SUR,7,7.837692583303476e-05
DEPARTMENT OF PUBLIC WORKS AND HIGHWAYS - BATANGAS IV DEO,2,2.239340738086707e-05
"MUNICIPALITY OF BONGABONG, ORIENTAL MINDORO",2,2.239340738086707e-05
"MUNICIPALITY OF STA. CRUZ, MARINDUQUE",1,1.1196703690433536e-05
"MUNICIPALITY OF NEW LUCENA, ILOILO",1,1.1196703690433536e-05
