value,count,share_within_cluster
Medical Supplies and Laboratory Instrument,24782,0.41723348373627855
Drugs and Medicines,14231,0.23959525893999595
Laboratory Supplies and Equipment,10871,0.18302579298269245
Medical and Dental Equipment,1686,0.028385749882146948
General Merchandise,969,0.016314229914472355
Construction Projects,677,0.011398073944373359
Hospital / Medical Equipment,528,0.008889487507576267
Office Supplies and Devices,523,0.008805306754663613
Office Equipment Supplies and Consumables,453,0.007626776213886457
Food Stuff,380,0.006397737221361708
