value,count,share_within_cluster
Negotiated Procurement - Small Value Procurement (Sec. 53.9),28195,0.4746952656744562
Public Bidding,21927,0.3691662738231531
Shopping - Ordinary/Regular Office Supplies & Equipment (Sec. 52.1.b),5240,0.08822142905246144
Negotiated Procurement - Emergency Cases (Sec. 53.2),1883,0.03170247154690552
Negotiated Procurement - Two Failed Biddings (Sec. 53.1),1113,0.01873863559835679
Shopping,446,0.007508923159808742
Direct Contracting (Sec. 50),347,0.005842144252138191
Shopping - Unforeseen Contingency (Sec. 52.1.a),180,0.0030305071048555457
Negotiated Procurement - Agency to Agency (Sec. 53.5),31,0.0005219206680584551
Negotiated Procurement - Lease of Real Property (Sec. 53.10),12,0.00020203380699036972
