value,count,share_within_cluster
"ENDURE MEDICAL, INC.",17199,0.1038386302163833
"BEROVAN MARKETING, INC.",1253,0.007564963292117465
"ZAFIRE DISTRIBUTORS, INC.",743,0.004485848145285935
JOSMEF ENTERPRISES,734,0.004431510819165378
"LIFELINE DIAGNOSTICS SUPPLIES, INC.",681,0.004111524343122102
ZUELLIG PHARMA CORPORATION,671,0.004051149536321484
PATIENT CARE CORPORATION,628,0.003791537867078825
"SCIENTIFIC BIOTECH SPECIALTIES, INC",598,0.003610413446676971
"METRO DRUG, INC.",539,0.003254202086553323
MEDICAL TEST SYSTEMS INC.,529,0.0031938272797527047
