value,count,share_within_cluster
Drugs and Medicines,121,0.05694117647058824
Medical Supplies and Laboratory Instrument,101,0.04752941176470588
Medical Supplies,50,0.023529411764705882
Medical supplies and laboratory instrument,44,0.020705882352941178
Laboratory Supplies and Equipment,40,0.018823529411764704
Laboratory supplies and equipment,30,0.01411764705882353
Laboratory Supplies,28,0.013176470588235295
Medicines,23,0.010823529411764706
Construction Project,21,0.00988235294117647
Hospital/Medical Equipment,15,0.007058823529411765
