value,count,share_within_cluster
Medical Equipment and Accessories and Supplies,658,0.4958553127354936
Drugs and Pharmaceutical Products,327,0.24642049736247174
Laboratory and Measuring and Observing and Testing Equipment,85,0.0640542577241899
Rabies vaccine,29,0.02185380557648832
Drugs or medicine production services,19,0.014318010550113038
Vaccines and antigens and toxoids,19,0.014318010550113038
Laboratory supplies and fixtures,15,0.011303692539562924
Ready to eat or hot cereals,10,0.007535795026375283
Healthcare Services,8,0.006028636021100226
Clinical and diagnostic analyzer reagents,7,0.0052750565184626974
