value,count,share_within_cluster
Medical Supplies and Laboratory Instrument,202,0.3692870201096892
Drugs and Medicines,92,0.16819012797074953
Laboratory Supplies and Equipment,39,0.0712979890310786
Medical and Dental Equipment,33,0.0603290676416819
General Merchandise,25,0.04570383912248629
Fuels/Fuel Additives & Lubricants & Anti Corrosive,23,0.04204753199268738
Construction Projects,21,0.038391224862888484
Educational Materials and Supplies,16,0.029250457038391225
Food Stuff,10,0.018281535648994516
Catering Services,9,0.016453382084095063
