value,count,share_within_cluster
Medical Supplies and Laboratory Instrument,98772,0.35469529931410926
Drugs and Medicines,86199,0.3095450138255467
Laboratory Supplies and Equipment,45826,0.16456350773871511
Medical and Dental Equipment,9073,0.03258160663626243
Hospital / Medical Equipment,8618,0.030947678385463424
General Merchandise,3014,0.010823428017380687
Construction Projects,2951,0.010597191798039286
Chemicals and Chemical Products,1550,0.005566129206018602
Veterinary Products and Supplies,1372,0.004926922110101627
Office Supplies and Devices,1244,0.00446726756921751
