row_index,cluster_id,PC1,PC2,PC3,log1p_Approved_Budget_of_the_Contract,log1p_Item_Budget,log1p_Contract_Amount,log1p_Quantity,award_decision_lag_days,high_risk_shortage,low_risk_shortage,overstocking,understocking,normal_inventory,unequal_supply_regions,equal_supply_regions
3,4,1.3372396109304474,1.3301357201527455,-0.1929860424552189,0.51698625,0.8745021,0.69841623,0.6923794,0.0,0.5723757,0.4276243,0.9738462,0.026153795,0.04897007,0.0,1.0
10,4,0.9821649032099148,0.848228877142831,-0.2289025514321256,0.38468498,0.7999685,0.7299593,0.64600945,0.0,0.5723757,0.4276243,0.89153486,0.10846515,0.20180318,0.0,1.0
18,4,1.3687897532068265,1.2116860359759425,-0.1043581129636004,0.44839743,0.8358617,0.780536,0.7481016,0.0,0.5723757,0.4276243,0.9614676,0.038532365,0.071954206,0.0,1.0
22,4,1.413272163429234,0.9172765363952134,-0.1343298628782597,0.45207712,0.83793473,0.78465855,0.6403911,0.0,0.0,1.0,0.93693846,0.06306152,0.117499165,0.0,1.0
25,4,1.052174687700486,1.1202688242508387,-0.1784769691159898,0.39794466,0.8074385,0.7407216,0.7384808,0.0,0.5723757,0.4276243,0.92273855,0.077261455,0.14386515,0.0,1.0
74,4,0.9449762472625786,1.2451761372830732,-0.1835751270993345,0.382952,0.79899216,0.7275945,0.7900476,0.0,0.5723757,0.4276243,0.92279017,0.07720981,0.14376926,0.0,1.0
128,4,0.4698639602977824,1.5703565814384386,-0.2332223579068269,0.31178018,0.7588966,0.67070836,0.9405497,0.0,0.5723757,0.4276243,0.88365805,0.11634196,0.21642861,0.0,1.0
187,4,1.632489505172743,1.0641669714597093,-0.1810045753069627,0.5682213,0.903366,0.7250446,0.5654834,0.0,0.5723757,0.4276243,0.955843,0.044157043,0.08239793,0.0,1.0
188,4,1.084095213745613,1.165471248023622,-0.1797386270323954,0.41334924,0.81611687,0.73408765,0.7384808,0.0,0.5723757,0.4276243,0.93362385,0.06637612,0.123653606,0.0,1.0
200,4,1.1104549114517044,1.0174191500733425,-0.1807747635418338,0.40605927,0.81201,0.7473079,0.6975561,0.0,0.5723757,0.4276243,0.9189308,0.08106918,0.15093522,0.0,1.0
239,4,1.0091612292118697,0.8070770339423871,-0.2308180991413682,0.3897713,0.8028339,0.7316717,0.62761647,0.0,0.5723757,0.4276243,0.8887707,0.11122931,0.20693558,0.0,1.0
273,4,2.8984692195031294,1.4694157755518331,0.2337314465508421,0.68703854,0.9703033,0.97536546,0.73355085,0.0,0.5723757,0.4276243,1.0,0.0,0.0,0.0,1.0
286,4,3.288353937966736,2.558660962182109,0.4309286858756364,0.8415738,1.0,1.0,1.0,0.0,0.5723757,0.4276243,1.0,0.0,0.0,0.0,1.0
290,4,1.5752899987037456,1.1150574635560917,-0.0778841873717781,0.48054948,0.853975,0.8046867,0.6975561,0.0,0.5723757,0.4276243,0.96245706,0.03754296,0.070117116,0.0,1.0
291,4,1.5153755415374448,1.220324383550242,-0.0735263023506192,0.47068676,0.8484187,0.79956657,0.7415624,0.0,0.5723757,0.4276243,0.9706972,0.029302757,0.05481696,0.0,1.0
296,4,3.312531639420313,2.598713095378487,0.4390484239373909,0.8571014,1.0,1.0,1.0,0.0,0.5723757,0.4276243,1.0,0.0,0.0,0.0,1.0
310,4,2.5760718946630856,1.3728275064757298,0.1554145380354506,0.637382,0.9423286,0.93289113,0.7200777,0.0,0.5723757,0.4276243,1.0,0.0,0.0,0.0,1.0
311,4,1.3034214002193016,0.8600034993537592,-0.1637626940068893,0.43455264,0.82806206,0.7704347,0.62761647,0.0,0.5723757,0.4276243,0.92450005,0.07549992,0.1405944,0.0,1.0
315,4,1.142352020182673,1.2820238193848206,-0.1388889560538748,0.41334924,0.81611687,0.75322485,0.7900476,0.0,0.5723757,0.4276243,0.9440482,0.055951796,0.10429805,0.0,1.0
323,4,1.088128813197511,1.1577021948362995,-0.1757372953477941,0.41077578,0.81466705,0.73795253,0.73975134,0.0,0.5723757,0.4276243,0.93355274,0.06644729,0.12378575,0.0,1.0
332,4,3.215661326422865,2.4382403272620383,0.4065159034655959,0.79488856,1.0,1.0,1.0,0.0,0.5723757,0.4276243,1.0,0.0,0.0,0.0,1.0
347,4,2.2514810892218478,1.5706420050025245,0.0039669226058393,0.67271286,0.96223277,0.8020314,0.6975561,0.0,0.5723757,0.4276243,1.0,0.0,0.0,0.0,1.0
359,4,2.1320425121154103,2.062971924087321,0.1619057126177678,0.5735867,0.9063887,0.8832826,1.0,0.0,0.5723757,0.4276243,1.0,0.0,0.0,0.0,1.0
379,4,3.1246780028642407,2.349799062796479,0.3754976306707234,0.75600463,1.0,0.99123,1.0,0.0,0.5723757,0.4276243,1.0,0.0,0.0,0.0,1.0
387,4,1.2135543023193205,0.8432450256029353,-0.1841128263069791,0.42071745,0.82026786,0.7587598,0.62761647,0.0,0.5723757,0.4276243,0.9108871,0.089112885,0.16587052,0.0,1.0
395,4,2.9621470068368043,2.3580836145811737,0.3195294390084338,0.7388843,0.9995113,0.95258355,1.0,0.0,0.5723757,0.4276243,1.0,0.0,0.0,0.0,1.0
407,4,1.5747612221976937,1.2240241249802706,-0.0615024345281291,0.4800823,0.8537118,0.80688095,0.7384808,0.0,0.5723757,0.4276243,0.97197574,0.028024279,0.052443124,0.0,1.0
434,4,2.479024192030613,1.577040710629759,0.1651076891213661,0.62310344,0.9342846,0.92331594,0.8014887,0.0,0.5723757,0.4276243,1.0,0.0,0.0,0.0,1.0
442,4,2.6215530777522726,1.6148354665997495,0.1931747113226515,0.64935654,0.9490746,0.9373194,0.7996696,0.0,0.5723757,0.4276243,1.0,0.0,0.0,0.0,1.0
448,4,1.3621129425105856,0.8715401576149119,-0.1506001778508227,0.44374648,0.8332415,0.77789694,0.62761647,0.0,0.5723757,0.4276243,0.9281913,0.07180871,0.13374066,0.0,1.0
449,4,0.4861463092050916,1.7394483581320628,-0.2072120594561738,0.3157628,0.7611403,0.6740182,1.0,0.0,0.5723757,0.4276243,0.89328,0.10671999,0.19856283,0.0,1.0
459,4,1.5141528083386857,1.9670192157174484,0.0178181648638968,0.4836124,0.8557005,0.7977175,1.0,0.0,0.5723757,0.4276243,1.0,0.0,0.0,0.0,1.0
477,4,1.475979498179503,1.12060935602914,-0.0991210477114049,0.46693626,0.8463058,0.7903635,0.7041485,0.0,0.5723757,0.4276243,0.95914245,0.04085756,0.07627156,0.0,1.0
492,4,1.075847480067919,0.8152707484608128,-0.2147996371132211,0.398904,0.8079789,0.74150026,0.62761647,0.0,0.5723757,0.4276243,0.8948614,0.105138585,0.19562653,0.0,1.0
518,4,3.0554589049196634,1.8535296519094089,0.316433694537037,0.7147659,0.9859239,0.9978716,0.8600275,0.0,0.5723757,0.4276243,1.0,0.0,0.0,0.0,1.0
522,4,1.5685075730312643,1.952510525004732,0.0354574047308325,0.48539355,0.85670394,0.8115481,1.0,0.0,0.5723757,0.4276243,1.0,0.0,0.0,0.0,1.0
527,4,1.7673691940651417,1.9912903627615943,0.0801220735343579,0.5164619,0.8742067,0.8369169,1.0,0.0,0.5723757,0.4276243,1.0,0.0,0.0,0.0,1.0
536,4,1.6595834672921663,0.9928884107654944,-0.075434311539786,0.49090236,0.85980743,0.8161713,0.65012807,0.0,0.0,1.0,0.9555073,0.04449272,0.08302121,0.0,1.0
552,4,1.3510421827456711,1.06471001799384,-0.126819274528492,0.44374648,0.8332415,0.77789694,0.6975561,0.0,0.5723757,0.4276243,0.94698495,0.053015072,0.098845236,0.0,1.0
