row_index,cluster_id,PC1,PC2,PC3,log1p_Approved_Budget_of_the_Contract,log1p_Item_Budget,log1p_Contract_Amount,log1p_Quantity,award_decision_lag_days,high_risk_shortage,low_risk_shortage,overstocking,understocking,normal_inventory,unequal_supply_regions,equal_supply_regions
4,0,2.385476195769612,-0.4847909385501656,-0.1304947274707021,0.59022605,0.9157627,0.896788,0.06999003,0.0,0.5723757,0.4276243,0.73598117,0.26401886,0.49063036,0.0,1.0
5,0,1.447200175193204,-0.8647088664723088,-0.3672003196939267,0.4415129,0.83198327,0.77608407,0.0,0.0,0.5723757,0.4276243,0.5163486,0.48365143,0.89843714,0.0,1.0
8,0,2.5748662304241727,-0.3306555867071939,-0.1818763242806157,0.7016521,0.978536,0.833653,0.0,0.0,0.5723757,0.4276243,0.5854532,0.41454682,0.77012587,0.0,1.0
11,0,2.411939818312677,-0.6679544153335507,-0.1523829027989309,0.5945394,0.9181927,0.896788,0.0,0.0,0.5723757,0.4276243,0.5694596,0.43054038,0.7998223,0.0,1.0
13,0,2.5864956573166964,-0.6335546866662837,-0.1132550877525434,0.6219066,0.9336103,0.91895735,0.0,0.0,0.5723757,0.4276243,0.5746724,0.4253276,0.7901433,0.0,1.0
14,0,1.2822342811705851,-0.8971351069548519,-0.4041964490144235,0.4156716,0.8174252,0.7551098,0.0,0.0,0.0,1.0,0.4962582,0.5037418,0.9357403,0.0,1.0
19,0,2.0913000931885173,0.8413301699686933,-0.0104008535459627,0.55643046,0.8967235,0.8693576,0.5654834,0.0,0.5723757,0.4276243,0.95279413,0.04720587,0.08805889,0.0,1.0
23,0,1.916375429614055,-0.195236163503997,-0.3467333011375508,0.63974196,0.9436582,0.70941556,0.040941544,0.0,0.5723757,0.4276243,0.7261205,0.27387953,0.5089393,0.0,1.0
27,0,2.1420038197797697,-0.7270751730715149,-0.211609204467999,0.5506349,0.89345855,0.8641323,0.0,0.0,0.5723757,0.4276243,0.5581158,0.44188422,0.8208851,0.0,1.0
29,0,1.1717956359760475,-0.911405458460604,-0.4305728162676741,0.40035972,0.808799,0.73902535,0.0,0.0,0.5723757,0.4276243,0.48511466,0.51488537,0.95643127,0.0,1.0
