value,count,share_within_cluster
"ENDURE MEDICAL, INC.",40138,0.24610800105462594
"BEROVAN MARKETING, INC.",1239,0.007596985731892011
"LIFELINE DIAGNOSTICS SUPPLIES, INC.",877,0.00537736601038684
MEDICAL TEST SYSTEMS INC.,856,0.0052486035403547715
"ZAFIRE DISTRIBUTORS, INC.",853,0.005230208901778761
NOVEAULAB ASIA CORP.,852,0.0052240773555867585
"SCIENTIFIC BIOTECH SPECIALTIES, INC",721,0.004420844804434334
CHEMLINE SCIENTIFIC CORPORATION,698,0.004279819242018259
JOSMEF ENTERPRISES,616,0.0037770324542739943
ZUELLIG PHARMA CORPORATION,578,0.003544033698977871
