value,count,share_within_cluster
"Medical, Dental & Laboratory Supplies",11,0.16666666666666666
Medical Supplies,10,0.15151515151515152
Laboratory Supplies and Equipment,8,0.12121212121212122
Medical Supplies and Laboratory Instrument,5,0.07575757575757576
Medical and Dental Equipment,2,0.030303030303030304
PACER PADS ,2,0.030303030303030304
NECESSARY EQUIPMENT FOR HOSPITAL & ISOLATION FACIL,2,0.030303030303030304
"Dengue Test Kit 20’s (NS1, IgG, IgM) Cassette",1,0.015151515151515152
Cobra Antivenom 800 MU/4.8 ml (for IV Infusion) 1m,1,0.015151515151515152
CRP REAGENT,1,0.015151515151515152
