value,count,share_within_cluster
DR. JOSE RIZAL MEMORIAL HOSPITAL,165471,0.99902796561051
PROVINCE OF AGUSAN DEL NORTE,63,0.0003803612828438949
PROVINCE OF ALBAY,23,0.00013886205564142196
PROVINCE OF ILOCOS SUR,15,9.056221020092736e-05
PROVINCE OF SOUTH COTABATO,10,6.037480680061824e-05
"MUNICIPALITY OF BONGABONG, ORIENTAL MINDORO",8,4.829984544049459e-05
"MUNICIPALITY OF STA. CRUZ, MARINDUQUE",5,3.018740340030912e-05
EAST AVENUE MEDICAL CENTER,4,2.4149922720247295e-05
"MUNICIPALITY OF STA. BARBARA, ILOILO",3,1.811244204018547e-05
"106TH CONTRACTING OFFICE, AFP PROCUREMENT SERVICE",3,1.811244204018547e-05
