value,count,share_within_cluster
Medical Equipment and Accessories and Supplies,66397,0.40087060471406494
Drugs and Pharmaceutical Products,25570,0.15437838098918083
Laboratory and Measuring and Observing and Testing Equipment,12091,0.07299917890262751
Laboratory supplies and fixtures,6276,0.03789122874806801
Building and Facility Construction and Maintenance Services,5115,0.030881713678516227
Drugs or medicine production services,2898,0.017496619010819166
Healthcare Services,1975,0.011924024343122102
Laboratory and scientific equipment,1897,0.01145310085007728
Office Equipment and Accessories and Supplies,1666,0.010058442812982998
Catering services,1571,0.009484882148377125
