value,count,share_within_cluster
"SANDOVAL DISTRIBUTORS, INC.",3,0.08823529411764706
NEWBORN SCREENING REFERENCE CENTER,2,0.058823529411764705
ZUELLIG PHARMA CORPORATION,2,0.058823529411764705
ZYMED MEDICAL DISTRIBUTORS,1,0.029411764705882353
HEBA ENTERPRISES,1,0.029411764705882353
"PHILIPPINE PHARMA PROCUREMENT, INC.",1,0.029411764705882353
SH &AMP; S ENTERPRISES,1,0.029411764705882353
"LIFELINK, INC.",1,0.029411764705882353
MARK ANTHONY CONSTRUCTION & SUPPLY,1,0.029411764705882353
SANATEC MARKETING,1,0.029411764705882353
