value,count,share_within_cluster
Medical Supplies and Laboratory Instrument,643,0.30258823529411766
Drugs and Medicines,610,0.28705882352941176
Construction Projects,406,0.19105882352941175
Laboratory Supplies and Equipment,170,0.08
Medical and Dental Equipment,47,0.02211764705882353
General Merchandise,38,0.01788235294117647
Hospital / Medical Equipment,37,0.017411764705882352
Fuels/Fuel Additives & Lubricants & Anti Corrosive,21,0.00988235294117647
Office Equipment,19,0.008941176470588235
Catering Services,14,0.006588235294117647
