value,count,share_within_cluster
Public Bidding,164514,0.5907781807735124
Negotiated Procurement - Small Value Procurement (Sec. 53.9),76527,0.27481236757999067
Shopping - Ordinary/Regular Office Supplies & Equipment (Sec. 52.1.b),14471,0.05196610047760979
Negotiated Procurement - Emergency Cases (Sec. 53.2),9712,0.03487628828958236
Negotiated Procurement - Two Failed Biddings (Sec. 53.1),5687,0.020422307609437283
Direct Contracting (Sec. 50),3210,0.011527274033109491
Shopping,2181,0.007832082450533271
Shopping - Unforeseen Contingency (Sec. 52.1.a),587,0.002107946996085754
Negotiated Procurement - Agency to Agency (Sec. 53.5),562,0.0020181707185693253
Negotiated Procurement - Lease of Real Property (Sec. 53.10),554,0.001989442309764068
