value,count,share_within_cluster
Medical Equipment and Accessories and Supplies,164538,0.5908643659999282
Drugs and Pharmaceutical Products,61161,0.2196322763672927
Laboratory and Measuring and Observing and Testing Equipment,23388,0.08398750314216971
Laboratory supplies and fixtures,6229,0.022368657305993463
Drugs or medicine production services,3045,0.010934750601501059
Laboratory and scientific equipment,1383,0.004966423672208856
Healthcare Services,1128,0.004050705641541279
Building and Facility Construction and Maintenance Services,648,0.002327001113225841
Office Equipment and Accessories and Supplies,648,0.002327001113225841
Medical laboratories,477,0.0017129313750134665
