cluster_id,cluster_label,rationale_short
0,"Moderate understocking segment · mean PC=(0.42,-1.01,-0.61)",Strongest theme deviations vs cohort (z): equal_supply_regions=0.46; unequal_supply_regions=-0.46; normal_inventory=0.43; high_risk_shortage=-0.42; low_risk_shortage=0.42
1,"Severe surplus / extreme overstocking segment · mean PC=(1.16,0.64,-0.22)",Strongest theme deviations vs cohort (z): overstocking=1.97; understocking=-1.97; normal_inventory=-1.93; high_risk_shortage=-1.19; low_risk_shortage=1.19
2,"Severe surplus / extreme overstocking segment · mean PC=(1.23,0.68,-0.20)",Strongest theme deviations vs cohort (z): normal_inventory=-2.05; understocking=-2.05; overstocking=2.05; high_risk_shortage=-1.27; low_risk_shortage=1.27
3,"Severe surplus / extreme overstocking segment · mean PC=(0.82,0.43,-0.32)",Strongest theme deviations vs cohort (z): overstocking=1.72; understocking=-1.72; normal_inventory=-1.51; high_risk_shortage=-1.13; low_risk_shortage=1.13
4,"High shortage-risk segment · mean PC=(3.31,-0.43,0.04)",Strongest theme deviations vs cohort (z): high_risk_shortage=0.82; low_risk_shortage=-0.82; equal_supply_regions=0.81; unequal_supply_regions=-0.81; overstocking=0.61
5,"Strong understocking / lean-stock segment · mean PC=(-2.03,-1.24,-1.13)",Strongest theme deviations vs cohort (z): overstocking=-1.79; understocking=1.79; normal_inventory=-1.63; high_risk_shortage=0.31; low_risk_shortage=-0.31
6,"Severe surplus / extreme overstocking segment · mean PC=(1.62,0.92,-0.09)",Strongest theme deviations vs cohort (z): normal_inventory=-2.42; understocking=-2.27; overstocking=2.27; high_risk_shortage=-1.27; low_risk_shortage=1.27
7,"High shortage-risk segment · mean PC=(-0.42,-1.12,-0.77)",Strongest theme deviations vs cohort (z): normal_inventory=0.79; equal_supply_regions=0.45; unequal_supply_regions=-0.45; high_risk_shortage=0.41; low_risk_shortage=-0.41
8,"Strong understocking / lean-stock segment · mean PC=(-1.78,-1.31,-1.08)",Strongest theme deviations vs cohort (z): overstocking=-1.68; understocking=1.68; normal_inventory=-1.46; equal_supply_regions=0.16; unequal_supply_regions=-0.16
9,"Overstocking-heavy procurement segment · mean PC=(-0.36,-0.31,-0.65)",Strongest theme deviations vs cohort (z): high_risk_shortage=-0.93; low_risk_shortage=0.93; normal_inventory=0.53; overstocking=0.47; understocking=-0.47
10,"High shortage-risk segment · mean PC=(-0.10,-1.05,-0.70)",Strongest theme deviations vs cohort (z): normal_inventory=1.24; equal_supply_regions=0.45; unequal_supply_regions=-0.45; high_risk_shortage=0.40; low_risk_shortage=-0.40
11,"Overstocking-heavy procurement segment · mean PC=(0.10,-0.02,-0.52)",Strongest theme deviations vs cohort (z): high_risk_shortage=-1.04; low_risk_shortage=1.04; overstocking=0.97; understocking=-0.97; normal_inventory=-0.28
12,"Severe surplus / extreme overstocking segment · mean PC=(0.56,0.26,-0.39)",Strongest theme deviations vs cohort (z): understocking=-1.42; overstocking=1.42; high_risk_shortage=-1.13; low_risk_shortage=1.13; normal_inventory=-1.10
13,"Strong understocking / lean-stock segment · mean PC=(-1.85,-1.29,-1.09)",Strongest theme deviations vs cohort (z): overstocking=-1.71; understocking=1.71; normal_inventory=-1.51; high_risk_shortage=0.30; low_risk_shortage=-0.30
14,"Mixed procurement profile segment · mean PC=(-0.69,-0.51,-0.74)",Strongest theme deviations vs cohort (z): normal_inventory=1.10; high_risk_shortage=-0.59; low_risk_shortage=0.59; overstocking=0.12; understocking=-0.12
15,"High shortage-risk segment · mean PC=(3.16,-0.53,0.02)",Strongest theme deviations vs cohort (z): high_risk_shortage=0.66; low_risk_shortage=-0.66; understocking=-0.60; overstocking=0.60; equal_supply_regions=0.53
16,"Severe surplus / extreme overstocking segment · mean PC=(1.02,0.55,-0.26)",Strongest theme deviations vs cohort (z): understocking=-1.86; overstocking=1.86; normal_inventory=-1.75; high_risk_shortage=-0.74; low_risk_shortage=0.74
