,Bid Reference No.,Line Item No,Award No.,UNSPSC Code,Year,Award Reference No.,log1p_Approved_Budget_of_the_Contract,log1p_Item_Budget,log1p_Contract_Amount,log1p_Quantity,contract_duration_days,pub_year,pub_month,pub_dow,pub_epoch_days,time_to_close_days,prebid_lead_days,award_publish_lag_days,award_decision_lag_days,ntp_lag_days,contract_length_days,contract_effectivity_lag_days,high_risk_shortage,low_risk_shortage,overstocking,understocking,normal_inventory,unequal_supply_regions,equal_supply_regions
Bid Reference No.,1.0,0.09094055337020013,0.2365594904045972,-0.059274618705646924,0.37672168296486375,0.33342677826748024,0.17933208613957208,-0.08068955169471063,-0.04996143124870786,0.01738878982918844,0.0015524254674082426,0.3856485073614322,-0.07409212954320367,0.15285645764915173,0.3683802465503971,-0.4425930597165932,-0.1623856509948775,-0.03587587762453283,-0.06400262038695291,-0.27632196623935495,0.3331549812070949,-0.3154184396760611,-0.16946373293812583,0.16946373293808087,-0.05166808159139622,0.05166808159136253,0.00997192873004551,0.14247354117207522,-0.14247354117196087
Line Item No,0.09094055337020013,1.0,0.03198067279943734,-0.046701010878115526,-0.008514566742118994,0.02003483407002284,0.44268773543421686,-0.1456839716227554,-0.1876840952571894,0.2203891269156987,-0.0013420344390093002,-0.00786282060907071,0.04758319546258,-0.009218484186102435,0.0020490497266055017,-0.03201535676157995,0.055848872042740465,0.07993948654778087,0.048608645740970284,-0.028391147309473078,0.06518812378061939,-0.025267789324368507,0.09562459423247133,-0.09562459423247364,0.04062283979279059,-0.040622839792789564,-0.04406339974081648,0.026076379840185297,-0.026076379840182184
Award No.,0.2365594904045972,0.03198067279943734,1.0,0.004521607445803432,0.19002996077380072,0.04259010665373176,0.05032280157330158,-0.031298954199017445,-0.029482902149982483,0.0032602990663855363,0.0010201580119591036,0.13387444831080292,0.009071642990858105,0.042404550085986016,0.13595070542472953,-0.3463613852544612,-0.09227195917671778,0.13547668664906348,0.049287640587853454,-0.2467668481305484,0.09996578619879118,-0.3709488061791324,-0.05714880067707343,0.05714880067706302,-0.02716204622164202,0.027162046221631146,0.0012144888941277314,0.23774733256375655,-0.23774733256371092
UNSPSC Code,-0.059274618705646924,-0.046701010878115526,0.004521607445803432,1.0,0.022492259651146877,0.07733754226068736,-0.00797195751557559,0.08406038744826158,0.0814795600380451,-0.010564602145792792,0.004679828985378304,0.030831928794130416,0.012359092205256779,-0.009984222874906414,0.03406852875866577,0.008144061665678236,-0.015463234994597097,-0.02707095309269749,-0.13645536043855022,0.020633222277525246,-0.07736801672576381,-0.01169546725554469,-0.15005585946932593,0.15005585946932914,0.04132867684914802,-0.04132867684914897,0.041322165739928446,0.025361182908048643,-0.02536118290804444
Year,0.37672168296486375,-0.008514566742118994,0.19002996077380072,0.022492259651146877,1.0,0.4265211520979342,-0.008797875436849584,0.007242757673504886,0.013676804116986746,-0.046460314587121014,0.001003204754597544,0.7849717971733904,-0.33713595013430087,0.0030434261130232827,0.7162304297855308,-0.18749749659331197,-0.36399724553505325,-0.3206549444000783,-0.2814784620158331,-0.25680105166088,0.39423085060359164,-0.3661303532319426,-0.15906733592840566,0.15906733592830327,-0.03144729151767726,0.031447291517597,0.008605843818781605,0.05448158439815074,-0.054481584397939806
Award Reference No.,0.33342677826748024,0.02003483407002284,0.04259010665373176,0.07733754226068736,0.4265211520979342,1.0,0.14109465279685948,0.10421774370247382,0.021004690811488307,0.03867581548371909,-0.00014075799652019973,0.598245854213355,0.0312217011146718,-0.008659430269600742,0.608919519783741,-0.10195473977382624,-0.08158019633275271,0.1074604605265795,-0.12958203393748757,-0.2144458385983507,0.3611993151016722,-0.08672348019688615,-0.05738005371470794,0.0573800537146303,0.10056694534254677,-0.10056694534259103,-0.007969054092150268,-0.1892922839587178,0.18929228395887013
log1p_Approved_Budget_of_the_Contract,0.17933208613957208,0.44268773543421686,0.05032280157330158,-0.00797195751557559,-0.008797875436849584,0.14109465279685948,1.0,0.24996442874378233,0.14516363973311078,0.3165689264841173,0.0047915028900026935,0.010828506274412937,0.10392594072584427,-0.030963959779607055,0.033010561795148996,-0.0427668132947029,0.08371658060841983,0.13703236068954355,-0.05724392013089701,-0.08295676325550351,0.0014715729676254895,-0.04221147999474049,0.11648152721524996,-0.11648152721525307,0.43658406512397024,-0.4365840651239718,-0.042954754519660264,0.06797156044799729,-0.0679715604479849
log1p_Item_Budget,-0.08068955169471063,-0.1456839716227554,-0.031298954199017445,0.08406038744826158,0.007242757673504886,0.10421774370247382,0.24996442874378233,1.0,0.5494523699241034,-0.0617401250764635,0.00563364612144311,0.040692692274177836,0.05850090943145486,-0.015185223188217644,0.054025085240318745,0.06895999276376698,-0.005535789606306889,-0.017410687159532222,-0.14959163567008094,0.011872529321521712,-0.07916130567048832,0.019869366201239455,-0.04968663417445821,0.04968663417445715,0.5916696681347122,-0.591669668134717,0.09541996183590566,0.01947286375758599,-0.019472863757577053
log1p_Contract_Amount,-0.04996143124870786,-0.1876840952571894,-0.029482902149982483,0.0814795600380451,0.013676804116986746,0.021004690811488307,0.14516363973311078,0.5494523699241034,1.0,-0.1614449591007957,0.006327512472188042,0.03833048525603841,0.03729407164417755,-0.031666696851673996,0.047038632291927576,0.05164835954618338,-0.0015673655185045586,-0.04864885591037017,0.013555607247700321,-0.04512099981680273,0.03306577207618591,0.0005149437724531179,-0.01802074979656698,0.01802074979656344,0.37565702220721753,-0.37565702220722313,-0.0555857357067551,-0.02507248571095806,0.025072485710966753
log1p_Quantity,0.01738878982918844,0.2203891269156987,0.0032602990663855363,-0.010564602145792792,-0.046460314587121014,0.03867581548371909,0.3165689264841173,-0.0617401250764635,-0.1614449591007957,1.0,-0.004992259798940882,-0.03522170561648293,0.06316409684068877,-0.021634734495303225,-0.02145661964248038,0.002172912430618749,0.04348178836309839,0.08055448325782091,-0.005401759389513558,-0.015753247770382485,-0.03306184586291089,0.004729560257340399,0.08090612872068584,-0.08090612872068355,0.6710161510462407,-0.6710161510462388,-0.36017021234578317,0.014712159211349572,-0.01471215921135479
