value,count,share_within_cluster
Public Bidding,67296,0.7534933715514153
Negotiated Procurement - Small Value Procurement (Sec. 53.9),11350,0.12708258688642063
Negotiated Procurement - Emergency Cases (Sec. 53.2),4351,0.048716857757076314
Direct Contracting (Sec. 50),2656,0.029738445001791472
Negotiated Procurement - Two Failed Biddings (Sec. 53.1),1345,0.015059566463633106
Shopping - Ordinary/Regular Office Supplies & Equipment (Sec. 52.1.b),817,0.0091477069150842
Negotiated Procurement - Agency to Agency (Sec. 53.5),558,0.006247760659261913
Negotiated Procurement - Lease of Real Property (Sec. 53.10),383,0.004288337513436044
"NP - Scientific, Scholarly/Artistic Work, Exclusive Tech. & Media Service (53.6)",136,0.001522751701898961
Shopping,96,0.0010748835542816195
