value,count,share_within_cluster
Drugs and Medicines,7193,0.08108260438272162
Medical Supplies,2273,0.02562223825412571
Medical Supplies and Laboratory Instrument,2123,0.023931373433131932
Procurement of Drugs and Medicines,617,0.0069550906303544055
Medicine,538,0.0060645684912976824
MEDICAL SUPPLIES,515,0.005805302552078636
Laboratory Supplies,456,0.005140229055821084
Reagent,388,0.004373703670303905
Laboratory Supplies and Equipment,381,0.004294796645324195
Supply and Delivery of Drugs and Medicines,370,0.0041707998917846515
