value,count,share_within_cluster
Medical Equipment and Accessories and Supplies,48670,0.548629272251781
Drugs and Pharmaceutical Products,25512,0.2875822887546217
Laboratory and Measuring and Observing and Testing Equipment,6757,0.0761678239696997
Laboratory supplies and fixtures,1363,0.01536432500676346
Drugs or medicine production services,890,0.01003246460456308
Healthcare Services,306,0.0034493642348273064
Office Equipment and Accessories and Supplies,207,0.002333393452971413
Catering services,177,0.0019952204887726576
Printing,162,0.0018261340066732799
Rabies vaccine,161,0.0018148615745333214
