value,count,share_within_cluster
Medical Supplies and Laboratory Instrument,37,0.5606060606060606
Laboratory Supplies and Equipment,13,0.19696969696969696
Medical and Dental Equipment,3,0.045454545454545456
Drugs and Medicines,3,0.045454545454545456
Hospital / Medical Equipment,2,0.030303030303030304
Furniture,1,0.015151515151515152
General Merchandise,1,0.015151515151515152
Personal Care Products,1,0.015151515151515152
Construction Materials and Supplies,1,0.015151515151515152
Lease and Rental of Property or Building,1,0.015151515151515152
