value,count,share_within_cluster
Negotiated Procurement - Small Value Procurement (Sec. 53.9),78056,0.47126159196290573
Public Bidding,60476,0.36512268160741884
Shopping - Ordinary/Regular Office Supplies & Equipment (Sec. 52.1.b),9005,0.054367513523956724
Negotiated Procurement - Emergency Cases (Sec. 53.2),6029,0.036399971020092736
Direct Contracting (Sec. 50),5281,0.03188393547140649
Negotiated Procurement - Two Failed Biddings (Sec. 53.1),2125,0.012829646445131376
Negotiated Procurement - Lease of Real Property (Sec. 53.10),1449,0.008748309505409583
Negotiated Procurement - Highly Technical Consultants (Sec. 53.7),753,0.004546222952086554
Shopping,649,0.003918324961360123
Negotiated Procurement - Agency to Agency (Sec. 53.5),624,0.003767387944358578
