value,count,share_within_cluster
BADE'S MEDICAL ENTERPRISES,4,0.06060606060606061
ORTHOHUB PHILIPPINES CORP. (FORMERLY: OTTO BOCK PHILIPPINES CORP. ),3,0.045454545454545456
LB2 LABORATORY SUPPLIES,3,0.045454545454545456
BIOSITE MEDICAL INSTRUMENTS,3,0.045454545454545456
GRACE AND DANG PHARMACY AND GENERAL MERCHANDISE,2,0.030303030303030304
ORDENT TRADING CORP.,2,0.030303030303030304
NEW CITIZEN'S DENTAL SUPPLY AND GENERAL MERCHANDISE,2,0.030303030303030304
BIG CART SUPERMARKET,2,0.030303030303030304
RL BONMEDICS DISTRIBUTORS,2,0.030303030303030304
"MMJ BIOSYSTEMS PHILIPPINES, INC.",2,0.030303030303030304
