value,count,share_within_cluster
Drugs and Pharmaceutical Products,116,0.21206581352833637
Medical Equipment and Accessories and Supplies,105,0.19195612431444242
Drugs or medicine production services,30,0.054844606946983544
Dental laboratory and sterilization equipment and supplies,28,0.051188299817184646
Fuels and Fuel Additives and Lubricants and Anti corrosive Materials,23,0.04204753199268738
Laboratory and Measuring and Observing and Testing Equipment,21,0.038391224862888484
Laboratory supplies and fixtures,20,0.03656307129798903
Medical oxygen masks or parts,13,0.02376599634369287
Medical facility products,11,0.02010968921389397
Office Equipment and Accessories and Supplies,10,0.018281535648994516
