value,count,share_within_cluster
Medical Supplies and Laboratory Instrument,64062,0.3066649433458274
Drugs and Medicines,42318,0.2025763646546896
Laboratory Supplies and Equipment,31953,0.15295908549107465
Construction Projects,9922,0.04749663713086228
Medical and Dental Equipment,8904,0.04262346875762928
Hospital / Medical Equipment,6299,0.03015332768467058
General Merchandise,5418,0.025935978630821595
Catering Services,3124,0.014954595282887903
Services,2904,0.013901454770008473
General Repair and Maintenance Services,2105,0.010076639907323635
