value,count,share_within_cluster
Medical Equipment and Accessories and Supplies,90111,0.43136156707308315
Drugs and Pharmaceutical Products,33112,0.15850722119301672
Laboratory and Measuring and Observing and Testing Equipment,16446,0.07872704034006865
Laboratory supplies and fixtures,7597,0.036366856710659215
Building and Facility Construction and Maintenance Services,5431,0.025998209661128105
Drugs or medicine production services,3804,0.018209756868151596
Healthcare Services,2170,0.010387795058856194
Laboratory and scientific equipment,2063,0.00987558580941029
Office Equipment and Accessories and Supplies,1808,0.008654900214936404
Catering services,1659,0.007941636867577154
