column,pre_min,pre_max,pre_mean,pre_std,clip_low,clip_high,post_min,post_max,post_mean,post_std
Bid Reference No.,0.0,12441171.0,9581270.005719794,2882120.9818325103,0.0,12304594.6,0.0,1.0,0.778621256351471,0.2341398298740387
Line Item No,1.0,1326.0,23.29578449769793,61.464566725138056,1.0,309.0,0.0,1.0,0.06782069802284241,0.1650671362876892
Award No.,507504.0,4387145.0,2902568.4878067286,33985.47797348789,2758249.28,2917049.96,0.0,1.0,0.9044739007949829,0.13023941218852997
UNSPSC Code,10000000.0,95141904.0,46426283.49299741,11098210.433145791,24111823.64,90101603.0,0.0,1.0,0.33929750323295593,0.16355469822883606
Year,2020.0,2025.0,2022.9914726059003,1.3815057211546442,2020.0,2025.0,0.0,1.0,0.5982946157455444,0.276224821805954
Award Reference No.,450566.0,5763203.0,4661555.341243424,540925.3707404269,3667329.28,5734904.96,0.0,1.0,0.48118898272514343,0.2602623403072357
log1p_Approved_Budget_of_the_Contract,0.0,22.54035048513709,13.902035825153435,2.2449493713438216,9.798182590890704,19.262258533022642,0.0,1.0,0.4342128336429596,0.23353683948516846
log1p_Item_Budget,0.0,21.917188305721876,11.08688446934221,3.172669640916313,0.0,16.799250003682555,0.0,1.0,0.6594824194908142,0.18785947561264038
log1p_Contract_Amount,0.0,21.917158002208193,11.617966743197316,2.2121549971711634,4.927398350776013,16.587599135077248,0.0,1.0,0.575111985206604,0.17970998585224152
log1p_Quantity,0.0,20.72326583794641,2.833007997536772,2.7305174349216412,0.6931471805599453,10.596659732783579,0.0,1.0,0.21486711502075195,0.2719658613204956
contract_duration_days,0.0,738030.0,26.117923319079992,1059.517016663188,0.0,270.0,0.0,1.0,0.0845056027173996,0.1355678290128708
pub_year,2020.0,2025.0,2023.2631535771782,1.2452092333388078,2020.0,2025.0,0.0,1.0,0.6526308655738831,0.24824345111846924
pub_month,1.0,12.0,7.198822817649532,3.222959120602216,1.0,12.0,0.0,1.0,0.5635293126106262,0.29292505979537964
pub_dow,0.0,6.0,2.509359009854288,1.5105897808875413,0.0,6.0,0.0,1.0,0.4182265102863312,0.2516801357269287
pub_epoch_days,7396.0,9404.0,8700.511184685338,452.07954193380294,7438.0,9357.0,0.0,1.0,0.6578707695007324,0.23513326048851013
time_to_close_days,-30.0,1689.1858185185185,34.20878653880867,157.9613574936191,2.0,864.960000000021,0.0,1.0,0.030768169090151787,0.12127658724784851
prebid_lead_days,-30.0,31.604166666666668,-28.986556630219106,6.028851985361194,-30.0,8.416666666666666,0.0,1.0,0.025929667055606842,0.15483500063419342
award_publish_lag_days,-30.0,1217.0,94.42359057408372,149.8894255894543,-30.0,935.0,0.0,1.0,0.12848667800426483,0.15272900462150574
award_decision_lag_days,-30.0,1742.3125,121.19954183799727,282.685340472427,-30.0,1632.4166666666667,0.0,1.0,0.09067457914352417,0.16840282082557678
ntp_lag_days,-30.0,2535.0,81.91245802186195,254.311932100788,-30.0,1611.0,0.0,1.0,0.0678127184510231,0.15241283178329468
contract_length_days,-30.0,3650.0,1486.1592907339614,491.50173148455997,13.0,1939.0,0.0,1.0,0.7644011974334717,0.25478583574295044
contract_effectivity_lag_days,-30.0,1815.0,-26.282501867119223,21.56928147217063,-30.0,86.0,0.0,1.0,0.026771342381834984,0.13439960777759552
high_risk_shortage,0.01507152305657243,0.9932706801611959,0.17585812286584426,0.1197506062607788,0.01507152305657243,0.6265579721290799,0.0,1.0,0.2624538540840149,0.19337376952171326
low_risk_shortage,0.006729319838804093,0.9849284769434276,0.8241418771341558,0.11975060626075675,0.37344202787092007,0.9849284769434276,0.0,1.0,0.7375461459159851,0.19346974790096283
overstocking,0.007933675823668749,0.9999353985295475,0.500001025420166,0.17494529571550443,0.12633842967155792,0.9404321325663191,0.0,1.0,0.45879802107810974,0.2138744443655014
understocking,6.460147045250775e-05,0.9920663241763312,0.49999897457983405,0.17494529571550424,0.059567867433681004,0.873661570328442,0.0,1.0,0.5412020087242126,0.2138746678829193
normal_inventory,0.0001292029409050155,1.0,0.7230213222451548,0.21378980497279795,0.11877749407819849,0.9956706760595154,0.0,1.0,0.6896036267280579,0.24209104478359222
unequal_supply_regions,0.0,0.15702304544404685,0.11068012589480815,0.04085486010561268,0.0,0.15702304544404685,0.0,1.0,0.7048655152320862,0.2603062093257904
equal_supply_regions,0.8429769545559531,1.0,0.8893198741051919,0.04085486010556603,0.8429769545559531,1.0,0.0,1.0,0.2951345145702362,0.26085132360458374
City_Municipality_freq,1.0,71265.0,15493.338704484162,23931.02470801695,27.0,71265.0,0.0,1.0,0.21710941195487976,0.33596888184547424
City_Municipality_of_Awardee_freq,1.0,180936.0,72940.39422688447,83386.35671489511,28.0,180936.0,0.0,1.0,0.40303653478622437,0.46123045682907104
