value,count,share_within_cluster
"ENDURE MEDICAL, INC.",4962,0.05555804371193121
ZUELLIG PHARMA CORPORATION,1019,0.011409441060551773
"BEROVAN MARKETING, INC.",956,0.010704048728054461
JOSMEF ENTERPRISES,849,0.009506001433178072
"ZAFIRE DISTRIBUTORS, INC.",817,0.0091477069150842
"METRO DRUG, INC.",755,0.00845351128627732
"LIFELINE DIAGNOSTICS SUPPLIES, INC.",677,0.007580168398423504
MEDICAL CENTER TRADING CORPORATION,630,0.0070539233249731275
ONE TOP MEDICAL SYSTEMS RESOURCES,607,0.0067963991400931565
PATIENT CARE CORPORATION,583,0.006527678251522752
