value,count,share_within_cluster
DR. JOSE RIZAL MEMORIAL HOSPITAL,162934,0.9990373472478555
PROVINCE OF AGUSAN DEL NORTE,60,0.00036789277152019423
PROVINCE OF SOUTH COTABATO,39,0.00023913030148812626
PROVINCE OF ALBAY,12,7.357855430403885e-05
PROVINCE OF ILOCOS SUR,7,4.292082334402266e-05
"MUNICIPALITY OF BONGABONG, ORIENTAL MINDORO",6,3.678927715201942e-05
EAST AVENUE MEDICAL CENTER,5,3.065773096001619e-05
"MUNICIPALITY OF STA. CRUZ, MARINDUQUE",4,2.452618476801295e-05
"106TH CONTRACTING OFFICE, AFP PROCUREMENT SERVICE",3,1.839463857600971e-05
HOME DEVELOPMENT MUTUAL FUND - CALAMBA BRANCH,2,1.2263092384006475e-05
