value,count,share_within_cluster
Medical Supplies,6294,0.03859195173246838
Drugs and Medicines,6034,0.03699774972254753
Medical Supplies and Laboratory Instrument,3895,0.02388237241785261
Laboratory Supplies,3021,0.01852340104604178
Laboratory Supplies and Equipment,2682,0.016444806886952684
MEDICAL SUPPLIES,1965,0.012048488267286361
Medical Equipment,1762,0.010803784390309705
Medical Supplies & Laboratory Instrument,1356,0.00831437663635639
Goods,1105,0.0067753585421635775
Reagent,1055,0.006468781232563415
