value,count,share_within_cluster
Public Bidding,43981,0.9080042116563783
Negotiated Procurement - Small Value Procurement (Sec. 53.9),2135,0.04407787435225138
Negotiated Procurement - Emergency Cases (Sec. 53.2),1284,0.02650866073456242
Negotiated Procurement - Two Failed Biddings (Sec. 53.1),429,0.008856865619258004
Direct Contracting (Sec. 50),218,0.00450069162004253
Shopping - Ordinary/Regular Office Supplies & Equipment (Sec. 52.1.b),177,0.003654231269484072
Negotiated Procurement - Agency to Agency (Sec. 53.5),155,0.003200033032599046
Shopping,20,0.0004129074880772963
Shopping - Unforeseen Contingency (Sec. 52.1.a),19,0.00039226211367343145
"NP - Scientific, Scholarly/Artistic Work, Exclusive Tech. & Media Service (53.6)",5,0.00010322687201932408
