value,count,share_within_cluster
Drugs and Pharmaceutical Products,22297,0.4603299130829738
Medical Equipment and Accessories and Supplies,20689,0.42713215104155916
Laboratory and Measuring and Observing and Testing Equipment,2779,0.05737349546834032
Laboratory supplies and fixtures,509,0.01050849557156719
Drugs or medicine production services,252,0.005202634349773933
Healthcare Services,134,0.002766480170117885
Rabies vaccine,82,0.0016929207011169148
Office Equipment and Accessories and Supplies,80,0.0016516299523091852
Vaccines and antigens and toxoids,64,0.001321303961847348
Live Plant and Animal Material and Accessories and Supplies,48,0.0009909779713855112
