value,count,share_within_cluster
Medical Supplies and Laboratory Instrument,35749,0.402978176571377
Drugs and Medicines,34773,0.3919762828027775
Laboratory Supplies and Equipment,10672,0.12029939579763729
Hospital / Medical Equipment,1335,0.01504869690684462
Medical and Dental Equipment,1211,0.013650915321489765
General Merchandise,522,0.005884209577058346
Catering Services,433,0.004880963116602038
Veterinary Products and Supplies,409,0.004610424745243034
Printing Services,365,0.004114437731084859
Chemicals and Chemical Products,245,0.0027617458742898366
