value,count,share_within_cluster
"ENDURE MEDICAL, INC.",6625,0.11153949760926661
"BEROVAN MARKETING, INC.",1291,0.021735470402047277
MEDICAL CENTER TRADING CORPORATION,773,0.013014344400296316
"PANAMED PHILIPPINES, INC.",579,0.009748131187285338
"PHIL PHARMAWEALTH, INC.",569,0.009579769681460031
MMJS PHARMACY AND MEDICAL SUPPLIES,555,0.0093440635733046
BGC PHARMACY,502,0.008451747592430467
OLTEN INSTRUMENTS PHILIPPINES CORP.,490,0.008249713785440097
MARGAL MEDICAL SUPPLIES,469,0.00789615462320695
ORB PHARMA AND MEDICAL SUPPLIES TRADING,447,0.0075257593103912725
