value,count,share_within_cluster
Medical Supplies and Laboratory Instrument,49262,0.3020522285104635
Laboratory Supplies and Equipment,32757,0.20085105861145006
Drugs and Medicines,25150,0.15420838672888143
Medical and Dental Equipment,7544,0.04625638447247242
General Merchandise,4751,0.02913097595820738
Hospital / Medical Equipment,4335,0.026580252742334033
Catering Services,2907,0.017824404780153413
Services,2546,0.015610916604840243
Construction Projects,2450,0.015022288170407933
General Repair and Maintenance Services,2152,0.013195087405190967
