value,count,share_within_cluster
Negotiated Procurement - Small Value Procurement (Sec. 53.9),94152,0.5772973370694888
Public Bidding,36397,0.22316988675034183
Shopping - Ordinary/Regular Office Supplies & Equipment (Sec. 52.1.b),11380,0.06977699566499684
Negotiated Procurement - Emergency Cases (Sec. 53.2),7416,0.045471546559896006
Direct Contracting (Sec. 50),5812,0.03563654646792282
Negotiated Procurement - Two Failed Biddings (Sec. 53.1),2680,0.016432543794568676
Negotiated Procurement - Lease of Real Property (Sec. 53.10),1637,0.010037341116309299
Shopping - Unforeseen Contingency (Sec. 52.1.a),832,0.005101446431746694
Negotiated Procurement - Agency to Agency (Sec. 53.5),815,0.004997210146482639
Negotiated Procurement - Highly Technical Consultants (Sec. 53.7),788,0.004831658399298551
