value,count,share_within_cluster
"ENDURE MEDICAL, INC.",41,0.6212121212121212
MEDICAL CENTER TRADING CORPORATION,2,0.030303030303030304
KHRIZ PHARMA TRADING INC,2,0.030303030303030304
LOCN TRADING,2,0.030303030303030304
P.B.G. GENERAL MERCHANDISE,2,0.030303030303030304
M2M MEDICAL TRADING,1,0.015151515151515152
BELMAN COMPANIA INCORPORADA DOING BUSINESS UNDER THE NAME OF BELMAN LABORATORIES,1,0.015151515151515152
NAGASE PHILIPPINES CORPORATION,1,0.015151515151515152
"HOTEL KIMBERLY, INC.",1,0.015151515151515152
"RESEARCH INSTITUTE FOR TROPICAL MEDICINE, DOH",1,0.015151515151515152
