value,count,share_within_cluster
Antibiotic Standard,12,0.3870967741935484
Antibiotic Reference Standard,5,0.16129032258064516
Pipette tip,2,0.06451612903225806
Laboratory Supplies and Equipment,2,0.06451612903225806
Stream Sterilizer and washer disinfector consumabl,1,0.03225806451612903
Cryovial 2ml,1,0.03225806451612903
Kit,1,0.03225806451612903
OTHER MOOE,1,0.03225806451612903
ORIENTATION OF THE HEALTH PROMOTION IN THE UHC CON,1,0.03225806451612903
DRAINAGE CATHETER KIT,1,0.03225806451612903
