value,count,share_within_cluster
Medical Supplies and Laboratory Instrument,324,0.3302752293577982
Drugs and Medicines,243,0.24770642201834864
Laboratory Supplies and Equipment,124,0.12640163098878696
Construction Projects,46,0.046890927624872576
Medical and Dental Equipment,41,0.0417940876656473
Hospital / Medical Equipment,24,0.024464831804281346
Veterinary Products and Supplies,21,0.021406727828746176
General Merchandise,19,0.019367991845056064
Construction Materials and Supplies,14,0.014271151885830785
Services,8,0.00815494393476045
