value,count,share_within_cluster
Medical Equipment and Accessories and Supplies,355,0.41569086651053866
Drugs and Pharmaceutical Products,305,0.35714285714285715
Laboratory and Measuring and Observing and Testing Equipment,42,0.04918032786885246
Rabies vaccine,31,0.03629976580796253
Vaccines and antigens and toxoids,15,0.01756440281030445
Laboratory supplies and fixtures,13,0.01522248243559719
Drugs or medicine production services,8,0.00936768149882904
Emergency medical services first aid kit cases or bags or accessories,5,0.00585480093676815
Healthcare Services,5,0.00585480093676815
Dialysis equipment and supplies,4,0.00468384074941452
