value,count,share_within_cluster
Medical Supplies and Laboratory Instrument,26,0.3939393939393939
Laboratory Supplies and Equipment,22,0.3333333333333333
Drugs and Medicines,7,0.10606060606060606
"Agricultural Products (Seeds, Seedlings, Plants..)",2,0.030303030303030304
Food Stuff,2,0.030303030303030304
Medical and Dental Equipment,2,0.030303030303030304
Janitorial Supplies,1,0.015151515151515152
Personal Care Products,1,0.015151515151515152
Chemicals and Chemical Products,1,0.015151515151515152
General Merchandise,1,0.015151515151515152
