value,count,share_within_cluster
Drugs and Medicine,4,0.10256410256410256
PROCUREMENT OF VARIOUS MEDICINES (AZTREONAM 1G),2,0.05128205128205128
Nutritional Products 900g/can (Glucerna SR or its ,1,0.02564102564102564
Mask,1,0.02564102564102564
SYRINGE,1,0.02564102564102564
"Cobra Antivenin 800 MU/4.8 ml (for IV infusion), 1",1,0.02564102564102564
ELECTROSURGICAL PENCIL HANDSWITCH,1,0.02564102564102564
Laboratory Supplies and Equipment,1,0.02564102564102564
"Dialyser Cold Sterilant, 1L",1,0.02564102564102564
Tube,1,0.02564102564102564
