value,count,share_within_cluster
Medical Equipment and Accessories and Supplies,563,0.26494117647058824
Drugs and Pharmaceutical Products,549,0.25835294117647056
Building and Facility Construction and Maintenance Services,190,0.08941176470588236
Laboratory supplies and fixtures,81,0.03811764705882353
Highway and road construction services,71,0.033411764705882356
Laboratory and Measuring and Observing and Testing Equipment,67,0.03152941176470588
Dextrose,50,0.023529411764705882
Drugs or medicine production services,47,0.02211764705882353
Clinical and diagnostic analyzer reagents,36,0.016941176470588234
Roads and landscape,23,0.010823529411764706
