value,count,share_within_cluster
AJR PHARMA AND MEDICAL SUPPLIES DISTRIBUTION,28,0.051188299817184646
MRL CYBERTEC CORPORATION,24,0.043875685557586835
ABORQUE-EDEP PHARMACEUTICALS,19,0.03473491773308958
"PHIL PHARMAWEALTH, INC.",18,0.03290676416819013
DAILY DOSE PHARMACY,16,0.029250457038391225
CM'S GENERAL MERCHANDISING,16,0.029250457038391225
JONIE ROSE TRADING,14,0.025594149908592323
PETRON STATION 88 - KIDAPAWAN BRANCH,11,0.02010968921389397
GOCA MED INC.,10,0.018281535648994516
GALIKIN PRECISION ENTERPRISES,10,0.018281535648994516
