value,count,share_within_cluster
"ENDURE MEDICAL, INC.",27944,0.13376799314501267
"BEROVAN MARKETING, INC.",1964,0.009401672578614545
ZUELLIG PHARMA CORPORATION,1185,0.005672597762555111
JOSMEF ENTERPRISES,1096,0.005246554555072069
"ZAFIRE DISTRIBUTORS, INC.",1063,0.005088583478140154
"SCIENTIFIC BIOTECH SPECIALTIES, INC",991,0.0047439193102887045
MEDICAL CENTER TRADING CORPORATION,977,0.004676901277650922
BIOSITE MEDICAL INSTRUMENTS,938,0.004490208186731387
"METRO DRUG, INC.",933,0.004466273175075036
PATIENT CARE CORPORATION,918,0.0043944681401059844
