value,count,share_within_cluster
Medical Supplies and Laboratory Instrument,14326,0.3803127239905493
Drugs and Medicines,8649,0.2296052456927447
Laboratory Supplies and Equipment,7412,0.19676657198226657
Medical and Dental Equipment,1107,0.029387560062650985
Hospital / Medical Equipment,980,0.026016087499004487
General Merchandise,690,0.018317449361543975
Construction Projects,448,0.01189306857097348
Veterinary Products and Supplies,277,0.0073535267726777985
Catering Services,274,0.007273885688497172
Food Stuff,235,0.006238551594149035
