value,count,share_within_cluster
DR. JOSE RIZAL MEMORIAL HOSPITAL,208709,0.9990904695570587
PROVINCE OF AGUSAN DEL NORTE,63,0.0003015811468700185
PROVINCE OF ALBAY,24,0.00011488805595048325
PROVINCE OF ILOCOS SUR,18,8.616604196286244e-05
PROVINCE OF SOUTH COTABATO,18,8.616604196286244e-05
"MUNICIPALITY OF BONGABONG, ORIENTAL MINDORO",10,4.787002331270135e-05
"MUNICIPALITY OF STA. BARBARA, ILOILO",7,3.350901631889095e-05
"MUNICIPALITY OF STA. CRUZ, MARINDUQUE",6,2.8722013987620812e-05
EAST AVENUE MEDICAL CENTER,5,2.3935011656350676e-05
"MUNICIPALITY OF JOSEFINA, ZAMBOANGA DEL SUR",5,2.3935011656350676e-05
