value,count,share_within_cluster
Public Bidding,17814,0.47290875786455705
Negotiated Procurement - Small Value Procurement (Sec. 53.9),13959,0.3705699646924527
Shopping - Ordinary/Regular Office Supplies & Equipment (Sec. 52.1.b),1804,0.047890838620616424
Negotiated Procurement - Emergency Cases (Sec. 53.2),1743,0.046271469908943694
Direct Contracting (Sec. 50),796,0.021131434335926094
Negotiated Procurement - Two Failed Biddings (Sec. 53.1),701,0.01860946667020627
Negotiated Procurement - Agency to Agency (Sec. 53.5),540,0.014335395152512677
Shopping,99,0.0026281557779606573
Shopping - Unforeseen Contingency (Sec. 52.1.a),82,0.00217685630093711
Negotiated Procurement - Lease of Real Property (Sec. 53.10),51,0.0013538984310706417
