value,count,share_within_cluster
Medical Equipment and Accessories and Supplies,21207,0.5629828240728451
Drugs and Pharmaceutical Products,6269,0.1664233189094481
Laboratory and Measuring and Observing and Testing Equipment,4167,0.11062146592688948
Laboratory supplies and fixtures,1195,0.03172369853194935
Drugs or medicine production services,804,0.021343810560407763
Healthcare Services,180,0.004778465050837559
Laboratory and scientific equipment,162,0.004300618545753803
Food or drug additives,122,0.0032387374233454566
Building and Facility Construction and Maintenance Services,122,0.0032387374233454566
Office Equipment and Accessories and Supplies,119,0.0031590963391648305
