value,count,share_within_cluster
"ENDURE MEDICAL, INC.",94325,0.33872589506948686
"PHIL PHARMAWEALTH, INC.",6406,0.023004273350809783
"BEROVAN MARKETING, INC.",5392,0.019362947534743418
MEDICAL CENTER TRADING CORPORATION,3957,0.014209789205300392
ZUELLIG PHARMA CORPORATION,3849,0.013821955686429417
"METRO DRUG, INC.",3736,0.013416166912055159
SAVELINK PHARMA AND TRADING CO.,2808,0.010083671490645311
JOSMEF ENTERPRISES,2503,0.008988400904944877
"PANAMED PHILIPPINES, INC.",2288,0.008216324918303588
"ZAFIRE DISTRIBUTORS, INC.",2137,0.007674076202104356
