value,count,share_within_cluster
DR. JOSE RIZAL MEMORIAL HOSPITAL,278328,0.9994900707437067
PROVINCE OF SOUTH COTABATO,42,0.0001508241462276008
PHILIPPINE HEALTH INSURANCE CORPORATION - REGION II,19,6.822997091248608e-05
EAST AVENUE MEDICAL CENTER,18,6.463891981182892e-05
IMPASUGONG NATIONAL HIGH SCHOOL,18,6.463891981182892e-05
PROVINCE OF AGUSAN DEL NORTE,9,3.231945990591446e-05
"MUNICIPALITY OF CAJIDIOCAN, ROMBLON",4,1.436420440262865e-05
"106TH CONTRACTING OFFICE, AFP PROCUREMENT SERVICE",4,1.436420440262865e-05
"BARANGAY MABINI, BURDEOS, QUEZON",2,7.182102201314325e-06
"MUNICIPALITY OF BONGABONG, ORIENTAL MINDORO",2,7.182102201314325e-06
